track_name,artists_name,artist_count,released_year,released_month,released_day
Dance Monkey,Tones and I,1,2019,5,10
Lucid Dreams,Juice WRLD,1,2017,6,15
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28
All of Me,John Legend,1,2013,8,1
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10
Arcade,Duncan Laurence,1,2019,3,7
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3
Bar,"Tini, L-Gante",2,2021,11,11
The Rumbling (TV Size),SiM,1,2022,1,10
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27
Mr. Brightside,The Killers,1,2003,9,23
Blessed-Cursed,ENHYPEN,1,2022,1,10
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24
Streets,Doja Cat,1,2019,11,7
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27
Polaroid Love,ENHYPEN,1,2022,1,10
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28
Permission to Dance,BTS,1,2021,7,9
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15
RAPSTAR,Polo G,1,2021,4,9
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26
Memories,Maroon 5,1,2019,9,20
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18
MAMIII,"Karol G, Becky G",2,2022,2,10
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11
Boyfriend,Dove Cameron,1,2022,2,11
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1
Light Switch,Charlie Puth,1,2022,1,19
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11
Brividi,"Mahmood, Blanco",2,2022,2,2
Lost,Frank Ocean,1,2012,1,1
In Da Club,50 Cent,1,2002,1,1
she's all i wanna be,Tate McRae,1,2022,2,4
Ginseng Strip 2002,Yung Lean,1,2013,8,16
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4
Notion,The Rare Occasions,1,2016,8,5
Formula,Labrinth,1,2019,10,4
Mount Everest,Labrinth,1,2019,6,21
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24
Cigarettes,Juice WRLD,1,2021,12,10
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19
Mujeriego,Ryan Castro,1,2021,12,17
HUMBLE.,Kendrick Lamar,1,2017,3,30
Stan,"Eminem, Dido",2,1999,11,21
Contection,"GODZZ__-, Zakaria",2,2020,1,16
Swim,Chase Atlantic,1,2017,10,4
A Tu Merced,Bad Bunny,1,2020,2,29
Numb Little Bug,Em Beihold,1,2022,1,28
212,"Mainstreet, Chefin",2,2022,1,15
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11
Worst Day,Future,1,2022,2,11
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28
Hrs and Hrs,Muni Long,1,2021,11,19
Alien Blues,Vundabar,1,2015,7,24
Thinking Out Loud,Ed Sheeran,1,2014,1,1
Still Don't Know My Name,Labrinth,1,2019,10,4
Christmas Tree,V,1,2021,12,24
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14
When I R.I.P.,Labrinth,1,2019,10,4
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4
Forever,Labrinth,1,2019,10,4
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16
Adore You,Harry Styles,1,2019,12,6
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21
Envolver,Anitta,1,2021,11,11
Starlight,Dave,1,2022,3,3
Hati-Hati di Jalan,Tulus,1,2022,3,3
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3
Jordan,Ryan Castro,1,2021,4,30
Nail Tech,Jack Harlow,1,2022,2,18
Chale,Eden Muï¿½ï,1,2022,2,18
DARARI,Treasure,1,2022,2,15
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25
this is what falling in love feels like,JVKE,1,2021,9,3
La Zona,Bad Bunny,1,2020,2,29
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31
Hope,XXXTENTACION,1,2018,3,16
Levitating,Dua Lipa,1,2020,3,27
Wake Me Up - Radio Edit,Avicii,1,2013,1,1
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21
Monï¿½ï¿½y so,YEAT,1,2021,9,10
Demasiadas Mujeres,C. Tangana,1,2020,10,8
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22
Closer,"The Chainsmokers, Halsey",2,2016,5,31
O.O,NMIXX,1,2022,2,22
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28
First Class,Jack Harlow,1,2022,4,8
Plan A,Paulo Londra,1,2022,3,23
Fuera del mercado,Danny Ocean,1,2022,2,17
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25
When You're Gone,Shawn Mendes,1,2022,3,31
In My Head,Lil Tjay,1,2022,4,1
Wait a Minute!,Willow,1,2015,1,11
LOVE DIVE,IVE,1,2022,4,5
Pantysito,"Feid, Alejo, Robi",3,2022,3,18
Chance,Paulo Londra,1,2022,4,6
Cool for the Summer,Demi Lovato,1,2015,1,1
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7
Angel Baby,Troye Sivan,1,2021,9,9
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31
Right On,Lil Baby,1,2022,4,8
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30
That's Hilarious,Charlie Puth,1,2022,4,8
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25
RUMBATï¿½,Daddy Yankee,1,2022,3,25
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17
Falling,Harry Styles,1,2019,12,13
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24
Fim de Semana no Rio,teto,1,2022,3,30
MANIAC,Stray Kids,1,2022,3,18
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18
Golden,Harry Styles,1,2019,12,13
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1
Ain't Shit,Doja Cat,1,2021,6,25
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25
Still Life,BIGBANG,1,2022,4,5
Photograph,Ed Sheeran,1,2014,6,20
Love Yourself,Justin Bieber,1,2015,11,9
N95,Kendrick Lamar,1,2022,5,13
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6
Un Ratito,Bad Bunny,1,2022,5,6
United In Grief,Kendrick Lamar,1,2022,5,13
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13
Yo No Soy Celoso,Bad Bunny,1,2022,5,6
Rich Spirit,Kendrick Lamar,1,2022,5,13
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6
Count Me Out,Kendrick Lamar,1,2022,5,13
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6
Dos Mil 16,Bad Bunny,1,2022,5,6
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13
Un Coco,Bad Bunny,1,2022,5,6
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6
Worldwide Steppers,Kendrick Lamar,1,2022,5,13
Aguacero,Bad Bunny,1,2022,5,6
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13
Un Verano Sin Ti,Bad Bunny,1,2022,5,6
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6
El Apagï¿½,Bad Bunny,1,2022,5,6
Callaita,"Bad Bunny, Tainy",2,2019,5,31
Dua Lipa,Jack Harlow,1,2022,5,6
Agosto,Bad Bunny,1,2022,5,6
House Of Memories,Panic! At The Disco,1,2016,1,15
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29
In The Stars,Benson Boone,1,2022,4,29
Rich - Interlude,Kendrick Lamar,1,2022,5,13
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10
Thousand Miles,The Kid Laroi,1,2022,4,22
Crown,Kendrick Lamar,1,2022,5,13
Auntie Diaries,Kendrick Lamar,1,2022,5,13
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29
Mirror,Kendrick Lamar,1,2022,5,13
Beautiful Girl,Luciano,1,2022,4,22
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25
Savior - Interlude,Kendrick Lamar,1,2022,5,13
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29
ZOOM,Jessi,1,2022,4,13
SloMo,Chanel,1,2021,12,24
FEARLESS,LE SSERAFIM,1,2022,5,2
10 Things I Hate About You,Leah Kate,1,2022,3,23
SPACE MAN,Sam Ryder,1,2022,2,22
With you,"HA SUNG WOON, Jimin",2,2022,4,24
Iris,The Goo Goo Dolls,1,1998,3,31
The Heart Part 5,Kendrick Lamar,1,2022,5,8
San Lucas,Kevin Kaarl,1,2019,11,7
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6
Good Looking,Suki Waterhouse,1,2017,10,20
Flowers,Lauren Spencer Smith,1,2021,8,9
Yet To Come,BTS,1,2022,6,10
Run BTS,BTS,1,2022,6,10
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20
Matilda,Harry Styles,1,2022,5,20
For Youth,BTS,1,2022,6,10
Daylight,Harry Styles,1,2022,5,20
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27
Born Singer,BTS,1,2022,6,10
Little Freak,Harry Styles,1,2022,5,20
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20
True Love,"Kanye West, XXXTENTACION",2,2022,5,27
Satellite,Harry Styles,1,2022,5,20
Pass The Dutchie,Musical Youth,1,1982,1,1
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8
Love Of My Life,Harry Styles,1,2022,5,20
Grapejuice,Harry Styles,1,2022,5,20
So Good,Halsey,1,2022,6,9
Belly Dancer,"BYOR, Imanbek",2,2022,2,18
Keep Driving,Harry Styles,1,2022,5,20
Cinema,Harry Styles,1,2022,5,20
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1
Hold My Hand,Lady Gaga,1,2022,5,3
Daydreaming,Harry Styles,1,2022,5,20
Numb,"Marshmello, Khalid",2,2022,6,10
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2
Me and Your Mama,Childish Gambino,1,2016,11,10
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18
SLOW DANCING IN THE DARK,Joji,1,2018,9,12
Antes de Perderte,Duki,1,2022,6,2
Boyfriends,Harry Styles,1,2022,5,20
295,Sidhu Moose Wala,1,2021,5,15
Tak Ingin Usai,Keisya Levronka,1,2022,5,13
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13
Master of Puppets (Remastered),Metallica,1,1986,3,3
BREAK MY SOUL,Beyoncï¿,1,2022,6,21
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16
Massive,Drake,1,2022,6,17
Betty (Get Money),Yung Gravy,1,2022,6,10
Ojos Marrones,Lasso,1,2022,2,6
POP!,Nayeon,1,2022,6,24
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24
MORE,j-hope,1,2022,7,1
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1
Last Last,Burna Boy,1,2022,5,12
Sticky,Drake,1,2022,6,17
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3
La Loto,"Anitta, Tini, Becky G",3,2022,7,6
die first,Nessa Barrett,1,2022,6,24
Afraid To Feel,LF System,1,2022,5,2
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5
Caile,Luar La L,1,2020,12,18
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5
GIVENCHY,Duki,1,2022,7,20
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29
Mary On A Cross,Ghost,1,2019,9,13
Attention,NewJeans,1,2022,8,1
THE SHADE,Rex Orange County,1,2022,3,11
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22
Heartless,Kanye West,1,2008,1,1
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10
Forget Me,Lewis Capaldi,1,2022,9,9
After LIKE,IVE,1,2022,8,22
Bound 2,Kanye West,1,2013,1,1
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15
Talk that Talk,TWICE,1,2022,8,26
BILLIE EILISH.,Armani White,1,2022,1,20
Ferxxo 100,Feid,1,2022,6,3
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10
Prohibidox,Feid,1,2022,9,13
Static,Steve Lacy,1,2022,7,15
The Scientist,Coldplay,1,2002,8,5
Sparks,Coldplay,1,2000,7,10
Talk,YEAT,1,2022,9,2
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13
Selfish,PnB Rock,1,2016,6,23
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22
Lady Mi Amor,Feid,1,2022,9,13
Poland,Lil Yachty,1,2022,6,23
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18
Nxde,(G)I-DLE,1,2022,10,17
Miss You,Southstar,1,1982,5,16
we fell in love in october,girl in red,1,2018,11,21
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14
Celestial,Ed Sheeran,1,2022,9,29
Typa Girl,BLACKPINK,1,2022,9,16
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18
California Breeze,Lil Baby,1,2022,10,14
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1
Major Distribution,"Drake, 21 Savage",2,2022,11,4
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4
Vigilante Shit,Taylor Swift,1,2022,10,21
Question...?,Taylor Swift,1,2022,10,21
On BS,"Drake, 21 Savage",2,2022,11,4
Mastermind,Taylor Swift,1,2022,10,21
Circo Loco,"Drake, 21 Savage",2,2022,11,4
Labyrinth,Taylor Swift,1,2022,10,21
Spin Bout U,"Drake, 21 Savage",2,2022,11,4
Sweet Nothing,Taylor Swift,1,2022,10,21
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4
The Astronaut,Jin,1,2022,10,28
BackOutsideBoyz,Drake,1,2022,11,4
Broke Boys,"Drake, 21 Savage",2,2022,11,4
The Great War,Taylor Swift,1,2022,10,21
My Mind & Me,Selena Gomez,1,2022,11,3
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20
Alone,Burna Boy,1,2022,11,4
